filename,label,openverse_id,title,source,creator,source_page,download_url,license,license_version,license_url,seed_query,source_width,source_height,saved_width,saved_height,clarity_score,raw_sha1
0002.jpg,localtourism,d431196a-3c0e-4be4-be8f-de1eb4c2ac9f,I Love Blue My Island Series - Alor Island #2,flickr,aq-photography.com,https://www.flickr.com/photos/27156764@N05/3301115706,https://live.staticflickr.com/3458/3301115706_f43bb86095.jpg,by,2.0,https://creativecommons.org/licenses/by/2.0/,Indonesia destination,500,281,500,281,42.256,4a224f5b16f676efced4818fa3c36da1439f0f08
0008.jpg,localtourism,513f1c7e-8260-4fe0-9033-7e26c57c1c8f,I Love Blue My Island Series - Alor Island #4,flickr,aq-photography.com,https://www.flickr.com/photos/27156764@N05/3303414963,https://live.staticflickr.com/3587/3303414963_3f0a3c1a85.jpg,by,2.0,https://creativecommons.org/licenses/by/2.0/,Indonesia destination,500,281,500,281,43.411,868869c0353bdaca8e751d247d6d6af0dc901aba
0006.jpg,localtourism,bd0e1440-8a48-4c80-8020-472c5ac8ac2a,Delicious food of Java (Indonesia 2009),flickr,paularps,https://www.flickr.com/photos/21160385@N02/3695068348,https://live.staticflickr.com/2545/3695068348_5a7c483d93.jpg,by,2.0,https://creativecommons.org/licenses/by/2.0/,Indonesia destination,500,375,500,375,61.97,13f0cd5369d3c2ec928b44f383575cd7a439b74c
0003.jpg,localtourism,c5295a0a-f293-47d1-bcfa-a8808894921d,I Love Blue My Island Series - Bidadari Island #3,flickr,aq-photography.com,https://www.flickr.com/photos/27156764@N05/3296820763,https://live.staticflickr.com/3299/3296820763_684d5d34f7.jpg,by,2.0,https://creativecommons.org/licenses/by/2.0/,Indonesia destination,334,500,334,500,51.633,fbdc19bdc5d660671f1724619a0e14a081c81291
0005.jpg,localtourism,8f6be930-5167-44c2-b474-b99d72753caa,Pura Kehen,flickr,Arian Zwegers,https://www.flickr.com/photos/67769030@N07/6989458953,https://live.staticflickr.com/7209/6989458953_8889f1ceb9_b.jpg,by,2.0,https://creativecommons.org/licenses/by/2.0/,Indonesia destination,683,1024,512,768,52.533,86f0f2f722233e29c6625742ca9842397b80cc58
0004.jpg,localtourism,aac905cc-18d4-46fb-95bc-5ee3e1287131,Red colour at sunrise and Lombok's mountains,flickr,Jorge Lascar,https://www.flickr.com/photos/8721758@N06/16788815848,https://live.staticflickr.com/7611/16788815848_f95e3c9a53_b.jpg,by,2.0,https://creativecommons.org/licenses/by/2.0/,Indonesia destination,1024,680,768,510,38.698,aba2bcbad3c0322d0fa704936b95e3f3981b4db7
0007.jpg,localtourism,81a80b5b-e095-43df-95b8-04e02074b002,The beautiful turquoise water surrounding the Gili Islands,flickr,Jorge Lascar,https://www.flickr.com/photos/8721758@N06/16975598051,https://live.staticflickr.com/7601/16975598051_b2d29312d3_b.jpg,by,2.0,https://creativecommons.org/licenses/by/2.0/,Indonesia destination,1024,680,768,510,54.456,912e8cac357548448ff08f0f6dfb26761eaaae75
0010.jpg,localtourism,f67c7b66-e1ec-41d5-99c4-b877ea71b3b6,I Love Blue My Island Series - Alor Island #6,flickr,aq-photography.com,https://www.flickr.com/photos/27156764@N05/3304243814,https://live.staticflickr.com/3604/3304243814_ba6ccbc507.jpg,by,2.0,https://creativecommons.org/licenses/by/2.0/,Indonesia destination,500,281,500,281,53.376,f1cc346966612a75c61b450f908496c3f2e68d31
0012.jpg,localtourism,989fb47e-68f2-4c10-bd2f-0f32382f9b53,I Love Blue My Island Series - Bidadari Island #2,flickr,aq-photography.com,https://www.flickr.com/photos/27156764@N05/3296820249,https://live.staticflickr.com/3625/3296820249_9df3cf9de7.jpg,by,2.0,https://creativecommons.org/licenses/by/2.0/,Indonesia destination,500,281,500,281,34.766,e00d4f5c011be6ee0476c2c7e79edc6b3cb96ee4
0015.jpg,localtourism,16dfa3e3-ecdd-4f87-adb8-5a758c8b461c,I Love Blue My Island Series - Bidadari Island #1,flickr,aq-photography.com,https://www.flickr.com/photos/27156764@N05/3297644248,https://live.staticflickr.com/3369/3297644248_d1594d1604.jpg,by,2.0,https://creativecommons.org/licenses/by/2.0/,Indonesia destination,500,281,500,281,33.903,95529fc66b8eaf5721759466d65ca82c80938ab9
0013.jpg,localtourism,62159b53-bb8b-4d76-8c21-54643149e5ff,I Love Blue My Island Series - Alor Island #5,flickr,aq-photography.com,https://www.flickr.com/photos/27156764@N05/3303415327,https://live.staticflickr.com/3424/3303415327_bf2305a5be.jpg,by,2.0,https://creativecommons.org/licenses/by/2.0/,Indonesia destination,500,281,500,281,57.974,8acc9e2327656ec95ae7c777c9cf5cefb382395f
0014.jpg,localtourism,ad9ef6a0-df5c-43c7-a9ba-06ee13ab4a63,Sunrise at Gili Trawangan,flickr,Jorge Lascar,https://www.flickr.com/photos/8721758@N06/16950574856,https://live.staticflickr.com/8702/16950574856_2a1ce9fc78_b.jpg,by,2.0,https://creativecommons.org/licenses/by/2.0/,Indonesia destination,1024,680,768,510,48.634,d633a717860a136911ebdb02c6adb2d7e57c17a6
0011.jpg,localtourism,ee7ee062-d90c-4793-91fe-c053b3c6744c,Red colour at sunrise and Lombok's mountains - Trawangan Gili island,flickr,Jorge Lascar,https://www.flickr.com/photos/8721758@N06/16358688994,https://live.staticflickr.com/7623/16358688994_b0fe675712_b.jpg,by,2.0,https://creativecommons.org/licenses/by/2.0/,Indonesia destination,1024,680,768,510,37.675,5a04986802afb3804358064c6f9c795604b116b4
0016.jpg,localtourism,07fd696f-07bb-4d10-bee0-7711809f4628,Sunset at Gili Trawangan,flickr,Jorge Lascar,https://www.flickr.com/photos/8721758@N06/16955107016,https://live.staticflickr.com/8721/16955107016_706c95406c_b.jpg,by,2.0,https://creativecommons.org/licenses/by/2.0/,Indonesia destination,1024,680,768,510,35.38,51fdf12a3ed4fd09a2565c8c2d011d8453753479
0019.jpg,localtourism,437aea6b-cb8d-47ef-b316-2b9f8aa4646c,I Love Blue My Island Series - Alor Island #3,flickr,aq-photography.com,https://www.flickr.com/photos/27156764@N05/3300283225,https://live.staticflickr.com/3330/3300283225_20c8c1b61b.jpg,by,2.0,https://creativecommons.org/licenses/by/2.0/,Indonesia destination,334,500,334,500,38.095,776e7bce2e3c541d0e14a6f220a7c9e5b98bbc36
0017.jpg,localtourism,0ba7fce7-9350-46f3-89ea-3ee69dcf68b4,I Love Blue My Island Series - Alor Island #1,flickr,aq-photography.com,https://www.flickr.com/photos/27156764@N05/3300283003,https://live.staticflickr.com/3420/3300283003_3296a46c8b.jpg,by,2.0,https://creativecommons.org/licenses/by/2.0/,Indonesia destination,500,281,500,281,47.934,914d64492f6f7ddcceccc033b874f134af106788
0018.jpg,localtourism,4dd0a2f1-6170-4255-91be-9343c210fff0,Turquoise water,flickr,Jorge Lascar,https://www.flickr.com/photos/8721758@N06/16356426203,https://live.staticflickr.com/8729/16356426203_e8e2ed784a_b.jpg,by,2.0,https://creativecommons.org/licenses/by/2.0/,Indonesia destination,1024,680,768,510,48.258,da0537028691444c76683ced67b824e543f5e341
0021.jpg,localtourism,9abb3a8d-9ceb-4422-bd2d-6670d16cff1f,1998 Passage,flickr,anoldent,https://www.flickr.com/photos/8563790@N08/549584079,https://live.staticflickr.com/1115/549584079_431fc39dca_b.jpg,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,Indonesia destination,1024,688,768,516,35.803,01f4d9779f66a6ac0075786f3926a92ecfa535f6
0020.jpg,localtourism,0f7b2c01-2c97-4327-807d-b75823470968,Taman Tirta Gangga,flickr,D-Stanley,https://www.flickr.com/photos/79721788@N00/6337600320,https://live.staticflickr.com/6229/6337600320_af635ac1b7_b.jpg,by,2.0,https://creativecommons.org/licenses/by/2.0/,Indonesia destination,1024,768,768,576,54.576,c2688a44b592196e787dc84aa8cc3d0ea25c4d17
0023.jpg,localtourism,556a89b9-ce94-47cd-9b17-bbc0217e7abc,Sunset at Gili Trawangan,flickr,Jorge Lascar,https://www.flickr.com/photos/8721758@N06/16950551546,https://live.staticflickr.com/8726/16950551546_24e4851443_b.jpg,by,2.0,https://creativecommons.org/licenses/by/2.0/,Indonesia destination,1024,680,768,510,35.427,d3b6355a3c9174373e642fa5da1a7a17155ce431
0024.jpg,localtourism,e3f4f8b3-de4b-49f7-a3b8-956689d377ed,Sunrise at Gili Trawangan,flickr,Jorge Lascar,https://www.flickr.com/photos/8721758@N06/16793344828,https://live.staticflickr.com/7609/16793344828_6e98a353b4_b.jpg,by,2.0,https://creativecommons.org/licenses/by/2.0/,Indonesia destination,1024,680,768,510,44.583,89deb4a5a9fa00ca8dcab671507a125a56af3e62
0025.jpg,localtourism,cb0e7662-f9cf-4563-b00a-f86be7ad7914,The crew on our first Perth-Lombok flight celebrating in Lombok,flickr,Jetstar Airways,https://www.flickr.com/photos/60687350@N07/9925605146,https://live.staticflickr.com/2864/9925605146_594bd8c62c_b.jpg,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,Indonesia destination,1024,641,768,481,49.201,04c951c6ebba3ce25d86774ebcd4723e5192404a
0026.jpg,localtourism,7243e32b-e467-4883-9a4f-747256c7f6c3,Gili Trawangan,flickr,Jorge Lascar,https://www.flickr.com/photos/8721758@N06/16788754758,https://live.staticflickr.com/7649/16788754758_57d65aca74_b.jpg,by,2.0,https://creativecommons.org/licenses/by/2.0/,Indonesia destination,1024,680,768,510,43.571,d8e0aa20a114c482c60f505ce03225931566a204
0027.jpg,localtourism,18b744f0-c12b-407d-93bb-4db3151dd4bf,Landing in Lombok after our first flight from Perth,flickr,Jetstar Airways,https://www.flickr.com/photos/60687350@N07/9925649004,https://live.staticflickr.com/7327/9925649004_1088964719_b.jpg,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,Indonesia destination,1023,685,768,514,61.008,88c7d3e9871d19dac5477a00dc50ced3a362c105
0028.jpg,localtourism,de16a8bc-231a-46af-b806-972d00ee6cd3,Celebrating the arrival of our first Perth-Lombok flight,flickr,Jetstar Airways,https://www.flickr.com/photos/60687350@N07/9925605006,https://live.staticflickr.com/5528/9925605006_a04df0a3b9_b.jpg,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,Indonesia destination,1023,685,768,514,53.645,cd4c383fb44668182e61b8821225620245ca3f8b
0029.jpg,localtourism,a497f711-3c98-4403-bc65-4dec5d13bbc5,The crew on our first Perth-Lombok flight,flickr,Jetstar Airways,https://www.flickr.com/photos/60687350@N07/9925750043,https://live.staticflickr.com/3783/9925750043_7bb716d45d_b.jpg,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,Indonesia destination,1024,640,768,480,43.071,daaa4d644626b7b79f91da0bdb50235567067ce5
0030.jpg,localtourism,d819bdbe-5cec-41ec-84db-6c4c15abac7d,The crew on our first Perth-Lombok flight,flickr,Jetstar Airways,https://www.flickr.com/photos/60687350@N07/9925605696,https://live.staticflickr.com/2845/9925605696_5e8efa3cb9_b.jpg,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,Indonesia destination,1023,639,768,480,42.301,4e29eaea34331408a9a90c7abdd3bd11dca4ece5
0031.jpg,localtourism,a221b620-9e24-46dc-b454-51567f2e5520,Celebrating the arrival of our first Perth-Lombok flight,flickr,Jetstar Airways,https://www.flickr.com/photos/60687350@N07/9925648994,https://live.staticflickr.com/7412/9925648994_cd5959a166_b.jpg,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,Indonesia destination,1023,685,768,514,34.393,07d944361f2f59c773e28e60e41e8690953486bc
0032.jpg,localtourism,5839e0f3-dbaa-4180-9764-e835ff8a18dd,Celebrating the launch of our Perth-Lombok flights,flickr,Jetstar Airways,https://www.flickr.com/photos/60687350@N07/9925750523,https://live.staticflickr.com/2872/9925750523_d47548c1eb_b.jpg,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,Indonesia destination,1024,767,768,575,42.883,ae5ac04e9b18c56740af8971e223b64da6edf3fd
0033.jpg,localtourism,88735e6c-f2dc-4c36-af49-f9fd8ff73a8e,Bali beaches at sunrise,flickr,Jorge Lascar,https://www.flickr.com/photos/8721758@N06/16890484155,https://live.staticflickr.com/8734/16890484155_195e1ff420_b.jpg,by,2.0,https://creativecommons.org/licenses/by/2.0/,Indonesia destination,1024,680,768,510,25.642,973f8d52e16f6dab29a4d23eda5ac29a3894c8a4
0034.jpg,localtourism,c653d767-92ca-4bae-9fe9-c45ff71a8f4a,COVID-19 Equipment to Indonesia (05890026),flickr,IAEA Imagebank,https://www.flickr.com/photos/35068899@N03/49885157273,https://live.staticflickr.com/65535/49885157273_de64111a1d_b.jpg,by,2.0,https://creativecommons.org/licenses/by/2.0/,Indonesia destination,768,1024,576,768,49.805,e01e744fad8945b955942d0d10239aa625900d4c
0035.jpg,localtourism,af453d03-548e-40db-818e-2d028a222d17,stocks-0275,flickr,Artem Beliaikin,https://www.flickr.com/photos/157635012@N07/45529170431,https://live.staticflickr.com/1906/45529170431_192d4f9ec7_b.jpg,cc0,1.0,https://creativecommons.org/publicdomain/zero/1.0/,Indonesia destination,1024,683,768,512,57.51,b1695cf10baec3784c92024ee5047160f5fa9f34
0036.jpg,localtourism,91159185-5fe6-4384-b4c8-b4245949f475,Beach - Gili Trawangan,flickr,Jorge Lascar,https://www.flickr.com/photos/8721758@N06/16950555226,https://live.staticflickr.com/8735/16950555226_32c9d4c175_b.jpg,by,2.0,https://creativecommons.org/licenses/by/2.0/,Indonesia destination,1024,680,768,510,51.651,ddc13798f5f3692da80d581016b82d1acf803cc0
0037.jpg,localtourism,c6ab847f-3e94-4d1b-9702-364da9e9e09a,The A320 we flew on our first Perth-Lombok flight,flickr,Jetstar Airways,https://www.flickr.com/photos/60687350@N07/9925584965,https://live.staticflickr.com/3731/9925584965_e8686792c5_b.jpg,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,Indonesia destination,1023,685,768,514,46.699,c05d36571ef472274f35336298c2fa104bca3518
0039.jpg,localtourism,7fe5201b-26c9-4040-9306-89c86795e27d,Bali beach,flickr,Jorge Lascar,https://www.flickr.com/photos/8721758@N06/16683066207,https://live.staticflickr.com/8717/16683066207_9d6e93bafa_b.jpg,by,2.0,https://creativecommons.org/licenses/by/2.0/,Indonesia destination,1024,680,768,510,27.137,6c6b68590892cdf80af9904fc38a174568adf3d1
0038.jpg,localtourism,783be872-5b43-4908-99a2-98ac38af1369,Seashell,flickr,Jorge Lascar,https://www.flickr.com/photos/8721758@N06/16769152327,https://live.staticflickr.com/8711/16769152327_33c39a5164_b.jpg,by,2.0,https://creativecommons.org/licenses/by/2.0/,Indonesia destination,1024,680,768,510,70.135,53741fd73173b2c9180d29fd5beeace1288e6ba9
0040.jpg,localtourism,a1690d94-0876-4559-97fa-746a88f9b7aa,Borobudur near Yogyakarta (Indonesia 2009),flickr,paularps,https://www.flickr.com/photos/21160385@N02/3694233013,https://live.staticflickr.com/3650/3694233013_31d3d8dc9b.jpg,by,2.0,https://creativecommons.org/licenses/by/2.0/,Indonesia destination,500,375,500,375,88.983,bcb1ae1632e517632f7b3ec434cbefec63c5eed2
0041.jpg,localtourism,cd0767f3-ec4b-43ec-a35b-00cd2d3c9038,Prambanan near Yogyakarta (Indonesia 2009),flickr,paularps,https://www.flickr.com/photos/21160385@N02/3694230475,https://live.staticflickr.com/3594/3694230475_bbbab8418c.jpg,by,2.0,https://creativecommons.org/licenses/by/2.0/,Indonesia destination,500,375,500,375,65.074,918f97ba37f820675fa2a6339da34a35ddf78523
0045.jpg,localtourism,98506828-7f24-4a29-a39e-460fdb662fc1,Art Deco of the Preanger hotel in Bandung (Indonesia 2009),flickr,paularps,https://www.flickr.com/photos/21160385@N02/3694256807,https://live.staticflickr.com/2435/3694256807_64f13ccd27.jpg,by,2.0,https://creativecommons.org/licenses/by/2.0/,Indonesia destination,500,375,500,375,64.877,7cc7f6b7ebfb6758d0fd320f1d01c4248b358f82
0044.jpg,localtourism,47410f07-8514-4099-a00f-791e651bcd76,"Tea plantations in Puncak pass (Java, Indonesia 2009)",flickr,paularps,https://www.flickr.com/photos/21160385@N02/8099266343,https://live.staticflickr.com/8464/8099266343_b83520aac6.jpg,by,2.0,https://creativecommons.org/licenses/by/2.0/,Indonesia destination,500,375,500,375,88.873,56a3d02575d5e0372ae6d4e5ae1538e7980f4404
0048.jpg,localtourism,014dfa05-648f-4c39-a77a-8fd6d5e8b3a8,Sunrise view on Bromo crater (Indonesia 2009),flickr,paularps,https://www.flickr.com/photos/21160385@N02/3694219919,https://live.staticflickr.com/2616/3694219919_ba35fbbb12.jpg,by,2.0,https://creativecommons.org/licenses/by/2.0/,Indonesia destination,500,375,500,375,45.686,52514a29b75ff61e3c3190394658395cbd573f7b
0049.jpg,localtourism,cc44d55d-80aa-4d50-90d8-a5d32a0763c6,Bromo and Semeru (Indonesia 2009),flickr,paularps,https://www.flickr.com/photos/21160385@N02/3695502682,https://live.staticflickr.com/3625/3695502682_e6dfff608c.jpg,by,2.0,https://creativecommons.org/licenses/by/2.0/,Indonesia destination,500,375,500,375,22.413,e4fa2d9510ae4032340a6fa0581c680921d5c25d
