epoch,phase,train_loss,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1
1,head,7.142881298065186,0.275,0.19686624649859946,0.275,0.19899606083816612,4.61714916229248,0.35,0.5694444444444444,0.35,0.2753623188405797
2,head,6.179987621307373,0.35,0.49031939819953135,0.35,0.2791108809058738,4.262096571922302,0.2,0.05263157894736842,0.2,0.08333333333333333
3,head,6.0684582710266115,0.275,0.31416666666666665,0.275,0.24272127329192547,4.794120407104492,0.25,0.3125,0.25,0.17857142857142855
4,head,5.83670015335083,0.2625,0.22395833333333331,0.2625,0.22232972136222912,4.964535975456238,0.15,0.28125,0.15000000000000002,0.13095238095238093
5,head,5.21908712387085,0.3375,0.5114583333333333,0.3375,0.29851712614870507,5.119354391098023,0.25,0.26190476190476186,0.25,0.21287593984962405
6,full,5.665074300765991,0.325,0.33326581954630735,0.325,0.2976057412532822,5.620316195487976,0.3,0.31666666666666665,0.30000000000000004,0.24285714285714285
7,full,6.514815902709961,0.2875,0.23641490088858508,0.2875,0.24420248868778283,6.34430091381073,0.35,0.363095238095238,0.35000000000000003,0.30169172932330823
8,full,5.003895425796509,0.4125,0.46161858974358977,0.4125,0.3883662900188324,19.050454926490783,0.4,0.49479166666666663,0.4,0.32738095238095233
9,full,2.6403066873550416,0.625,0.6345186781609194,0.625,0.6201247165532879,7.314312934875488,0.5,0.6458333333333333,0.5,0.4665032679738562
10,full,2.0207498550415037,0.825,0.829563492063492,0.8250000000000001,0.8264281129653401,5.744447422027588,0.45,0.4791666666666667,0.45,0.4059873949579832
11,full,1.5983602046966552,0.825,0.8253787878787879,0.825,0.8241541353383459,3.904679000377655,0.6,0.6969696969696969,0.6,0.59375
12,full,1.5480534076690673,0.85,0.8506688716676603,0.8500000000000001,0.8476479446417053,4.930134606361389,0.65,0.7083333333333333,0.65,0.6388888888888888
13,full,1.6076527833938599,0.8625,0.862781954887218,0.8625,0.8621013133208255,5.133954620361328,0.75,0.7619047619047619,0.75,0.7373737373737373
14,full,1.6019609093666076,0.8,0.8038838037121789,0.8,0.8003852430719016,5.113023948669434,0.7,0.6964285714285714,0.7,0.6686507936507936
15,full,1.3925268054008484,0.925,0.9260651629072681,0.925,0.924953095684803,3.3430599927902223,0.7,0.5833333333333334,0.7,0.6311188811188811
16,full,1.2661461591720582,0.95,0.950595238095238,0.95,0.9499921826141338,3.3313681840896607,0.7,0.5833333333333334,0.7,0.6311188811188811
17,full,1.1682031750679016,0.9625,0.9642857142857142,0.9624999999999999,0.9627892432770482,4.566863489151001,0.7,0.6916666666666667,0.7,0.6840909090909091
18,full,1.3989806175231934,0.925,0.924812030075188,0.9249999999999999,0.9243277048155096,3.3062255859375,0.7,0.6666666666666667,0.7,0.6623376623376623
19,full,1.2464449763298036,0.925,0.925532581453634,0.9249999999999999,0.9249765478424015,4.077365040779114,0.6,0.5833333333333333,0.6000000000000001,0.5714285714285714
20,full,1.3672573208808898,0.875,0.879862700228833,0.875,0.8759689922480621,3.9915557742118835,0.65,0.6577380952380952,0.65,0.6363636363636364
