epoch,phase,train_loss,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1
1,head,4.636253324499934,0.33469587965990844,0.3330135589954133,0.33428263101624844,0.3331369306117995,4.902713966369629,0.2,0.1773809523809524,0.2,0.18712121212121213
2,head,3.4590639738260025,0.447351209941138,0.4472828593298036,0.4471924841589574,0.44722160141937106,4.564694023132324,0.4,0.49583333333333335,0.39999999999999997,0.40555555555555556
3,head,3.166417475694765,0.5009810333551341,0.5010220589295529,0.500818499866092,0.5009143040097692,4.252543640136719,0.3,0.3416666666666667,0.30000000000000004,0.30277777777777776
4,head,2.880598319286299,0.5232177894048398,0.5232865582236312,0.5231121852447527,0.5231943311807858,4.082342433929443,0.3,0.3729166666666666,0.3,0.3245726495726496
5,head,2.8899233997686773,0.5300850228907783,0.5310016827529567,0.5299426465581346,0.5303979145019744,4.3204145431518555,0.4,0.5125,0.39999999999999997,0.4095238095238095
6,full,1.6533655213561222,0.5855134074558535,0.5872370413390346,0.5856399952134979,0.5862203851464013,0.8671951532363892,0.75,0.7541666666666667,0.75,0.7484848484848484
7,full,0.756466340246818,0.7470568999345978,0.7483670102293448,0.7472620380170776,0.7476567911294181,1.5971949100494385,0.55,0.6125,0.55,0.5580128205128205
8,full,0.6689812468889884,0.80134074558535,0.8012398340261534,0.8015668894075849,0.801339143890269,1.3611699342727661,0.65,0.8136363636363637,0.6499999999999999,0.6419642857142858
9,full,0.6160354735884034,0.8217789404839765,0.8222027206138535,0.8219473539974415,0.8220332189794433,0.7441911101341248,0.75,0.8388888888888888,0.75,0.7119047619047618
10,full,0.5618268453349781,0.8490843688685416,0.8494094280619374,0.8493016612794775,0.8493392410428247,1.2405753135681152,0.55,0.42613636363636365,0.55,0.4618055555555556
11,full,0.5268415089445694,0.8652714192282538,0.8654893451391519,0.8654386371503789,0.8654356341641569,1.3446683645248414,0.65,0.65,0.65,0.6474747474747474
12,full,0.5386044748317501,0.854970568999346,0.8551818636454559,0.8551320855544507,0.8551157690120589,1.0781394243240356,0.5,0.5,0.5,0.47916666666666663
13,full,0.5012056268142515,0.8747547416612165,0.8750151942701324,0.8749671328638953,0.8749600293637394,1.2697580814361573,0.6,0.753968253968254,0.6000000000000001,0.5952380952380952
