filename,Classes,Labels
0001.jpg,pantai,0
0002.jpg,pantai,0
0003.jpg,pantai,0
0004.jpg,pantai,0
0005.jpg,pantai,0
0006.jpg,pantai,0
0007.jpg,pantai,0
0008.jpg,pantai,0
0009.jpg,pantai,0
0010.jpg,pantai,0
0011.jpg,pantai,0
0012.jpg,pantai,0
0013.jpg,pantai,0
0014.jpg,pantai,0
0015.jpg,pantai,0
0016.jpg,pantai,0
0017.jpg,pantai,0
0018.jpg,pantai,0
0019.jpg,pantai,0
0020.jpg,pantai,0
0021.jpg,gunung,1
0022.jpg,gunung,1
0023.jpg,gunung,1
0024.jpg,gunung,1
0025.jpg,gunung,1
0026.jpg,gunung,1
0027.jpg,gunung,1
0028.jpg,gunung,1
0029.jpg,gunung,1
0030.jpg,gunung,1
0031.jpg,gunung,1
0032.jpg,gunung,1
0033.jpg,gunung,1
0034.jpg,gunung,1
0035.jpg,gunung,1
0036.jpg,gunung,1
0037.jpg,gunung,1
0038.jpg,gunung,1
0039.jpg,gunung,1
0040.jpg,gunung,1
0041.jpg,air_terjun,2
0042.jpg,air_terjun,2
0043.jpg,air_terjun,2
0044.jpg,air_terjun,2
0045.jpg,air_terjun,2
0046.jpg,air_terjun,2
0047.jpg,air_terjun,2
0048.jpg,air_terjun,2
0049.jpg,air_terjun,2
0050.jpg,air_terjun,2
0051.jpg,air_terjun,2
0052.jpg,air_terjun,2
0053.jpg,air_terjun,2
0054.jpg,air_terjun,2
0055.jpg,air_terjun,2
0056.jpg,air_terjun,2
0057.jpg,air_terjun,2
0058.jpg,air_terjun,2
0059.jpg,air_terjun,2
0060.jpg,air_terjun,2
0061.jpg,wisata_tradisional,3
0062.jpg,wisata_tradisional,3
0063.jpg,wisata_tradisional,3
0064.jpg,wisata_tradisional,3
0065.jpg,wisata_tradisional,3
0066.jpg,wisata_tradisional,3
0067.jpg,wisata_tradisional,3
0068.jpg,wisata_tradisional,3
0069.jpg,wisata_tradisional,3
0070.jpg,wisata_tradisional,3
0071.jpg,wisata_tradisional,3
0072.jpg,wisata_tradisional,3
0073.jpg,wisata_tradisional,3
0074.jpg,wisata_tradisional,3
0075.jpg,wisata_tradisional,3
0076.jpg,wisata_tradisional,3
0077.jpg,wisata_tradisional,3
0078.jpg,wisata_tradisional,3
0079.jpg,wisata_tradisional,3
0080.jpg,wisata_tradisional,3
