filename,label,commons_title,source_page,download_url,seed_query_or_category,license_short,license_url,artist,description,categories,source_width,source_height,saved_width,saved_height,clarity_score,raw_sha1
0001.jpg,waterfall,File:Jacob Isaacksz. van Ruisdael - Norwegian Landscape with Waterfall - WGA20474.jpg,https://commons.wikimedia.org/wiki/File:Jacob_Isaacksz._van_Ruisdael_-_Norwegian_Landscape_with_Waterfall_-_WGA20474.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ec/Jacob_Isaacksz._van_Ruisdael_-_Norwegian_Landscape_with_Waterfall_-_WGA20474.jpg,waterfall landscape -people -portrait -tourists,Public domain,,Jacob van Ruisdael,,,900,1052,657,768,50.024,b4a0751fd51685384686a920684851c65dc276e5
0002.jpg,waterfall,File:Jacob Isaacksz. van Ruisdael - Landscape with Waterfall - WGA20506.jpg,https://commons.wikimedia.org/wiki/File:Jacob_Isaacksz._van_Ruisdael_-_Landscape_with_Waterfall_-_WGA20506.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fc/Jacob_Isaacksz._van_Ruisdael_-_Landscape_with_Waterfall_-_WGA20506.jpg,waterfall landscape -people -portrait -tourists,Public domain,,Jacob van Ruisdael,,,800,574,768,551,30.415,9238fb80e00be1b67f31ce5d0c4a987e1e42df89
0003.jpg,waterfall,File:Winter-creek-waterfall-landscape-scene - West Virginia - ForestWander.jpg,https://commons.wikimedia.org/wiki/File:Winter-creek-waterfall-landscape-scene_-_West_Virginia_-_ForestWander.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Winter-creek-waterfall-landscape-scene_-_West_Virginia_-_ForestWander.jpg/960px-Winter-creek-waterfall-landscape-scene_-_West_Virginia_-_ForestWander.jpg,waterfall landscape -people -portrait -tourists,CC BY-SA 3.0 us,https://creativecommons.org/licenses/by-sa/3.0/us/deed.en,ForestWander,Winter Creek Waterfall Landscape Scene,,960,1440,512,768,65.903,d34955a099ece06e4b38e0235de36f17376dfbac
0004.jpg,waterfall,File:Landscape with Waterfall by Okyo (Kotohiragu).jpg,https://commons.wikimedia.org/wiki/File:Landscape_with_Waterfall_by_Okyo_(Kotohiragu).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Landscape_with_Waterfall_by_Okyo_%28Kotohiragu%29.jpg/960px-Landscape_with_Waterfall_by_Okyo_%28Kotohiragu%29.jpg,waterfall landscape -people -portrait -tourists,Public domain,,Maruyama Ōkyo,"Landscape with Waterfall by Maruyama Okyo, Kotohiragu Shrine, Kotohira, Kagawa, Japan",,960,447,768,358,60.743,a205973aa153e8a21ab42f90b333b6a425c32423
0005.jpg,waterfall,"File:Nature, Oguz ( 1090525).jpg",https://commons.wikimedia.org/wiki/File:Nature%2C_Oguz_(_1090525).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Nature%2C_Oguz_%28_1090525%29.jpg/960px-Nature%2C_Oguz_%28_1090525%29.jpg,waterfalls Indonesia nature -people -portrait -tourists,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Matti Blume,"Waterfall in the foothills of the Greater Caucasus near Oghuz, Azerbaijan",,960,720,768,576,89.161,e1f282e836e3d413ee648f524a8d68782398ab90
0006.jpg,waterfall,File:Jacob Isaacksz. van Ruisdael - Landscape with Waterfall - WGA20507.jpg,https://commons.wikimedia.org/wiki/File:Jacob_Isaacksz._van_Ruisdael_-_Landscape_with_Waterfall_-_WGA20507.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Jacob_Isaacksz._van_Ruisdael_-_Landscape_with_Waterfall_-_WGA20507.jpg/960px-Jacob_Isaacksz._van_Ruisdael_-_Landscape_with_Waterfall_-_WGA20507.jpg,waterfall landscape -people -portrait -tourists,Public domain,,Jacob van Ruisdael,"Landscape with on the foreground a waterfall running over rocks, flanked by fallen tree trunks. On the background a small forest. Further on in the distance a village with church spire and windmills can be seen.",,960,690,768,552,51.494,b549ecbd15b7d428681b4e441c1f407c079f8468
0007.jpg,waterfall,File:Autumn-clear-water-waterfall-landscape - Virginia - ForestWander.jpg,https://commons.wikimedia.org/wiki/File:Autumn-clear-water-waterfall-landscape_-_Virginia_-_ForestWander.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Autumn-clear-water-waterfall-landscape_-_Virginia_-_ForestWander.jpg/960px-Autumn-clear-water-waterfall-landscape_-_Virginia_-_ForestWander.jpg,waterfall landscape -people -portrait -tourists,CC BY-SA 3.0 us,https://creativecommons.org/licenses/by-sa/3.0/us/deed.en,ForestWander,Autumn Clear Water Waterfall Landscape,,960,635,768,508,95.349,e00bf0c63e28d2dcabab3d451c5ec89a19ba5484
0008.jpg,waterfall,File:Clear-water-waterfall-landscape - Virginia - ForestWander.jpg,https://commons.wikimedia.org/wiki/File:Clear-water-waterfall-landscape_-_Virginia_-_ForestWander.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Clear-water-waterfall-landscape_-_Virginia_-_ForestWander.jpg/960px-Clear-water-waterfall-landscape_-_Virginia_-_ForestWander.jpg,waterfall landscape -people -portrait -tourists,CC BY-SA 3.0 us,https://creativecommons.org/licenses/by-sa/3.0/us/deed.en,ForestWander,Clear Water Waterfall Landscape,,960,1377,535,768,86.18,56785f901d2365a1c7c471f5b45fdbb35a9d35ab
0009.jpg,waterfall,"File:Landscape with Waterfall - Tiffany Studios, early 1920s.JPG",https://commons.wikimedia.org/wiki/File:Landscape_with_Waterfall_-_Tiffany_Studios%2C_early_1920s.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Landscape_with_Waterfall_-_Tiffany_Studios%2C_early_1920s.JPG/960px-Landscape_with_Waterfall_-_Tiffany_Studios%2C_early_1920s.JPG,waterfall landscape -people -portrait -tourists,Public domain,,Daderot.,"Landscape with Waterfall - Tiffany Studios, early 1920s.",,960,1280,576,768,54.662,1c232b1c7c7d1333bb4cc9639e6c1a3307852335
0010.jpg,waterfall,File:Circle of George Barrett - A wooded landscape with travellers resting before a waterfall.jpg,https://commons.wikimedia.org/wiki/File:Circle_of_George_Barrett_-_A_wooded_landscape_with_travellers_resting_before_a_waterfall.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Circle_of_George_Barrett_-_A_wooded_landscape_with_travellers_resting_before_a_waterfall.jpg/960px-Circle_of_George_Barrett_-_A_wooded_landscape_with_travellers_resting_before_a_waterfall.jpg,waterfall landscape -people -portrait -tourists,Public domain,,"Circle of George Barret, Sr.",,,960,737,768,590,50.023,e505e86da4ea139319c9872acc678bffaa94d1aa
0011.jpg,waterfall,File:Triberg Waterfall.jpg,https://commons.wikimedia.org/wiki/File:Triberg_Waterfall.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Triberg_Waterfall.jpg/960px-Triberg_Waterfall.jpg,cascade waterfall forest -people -portrait -tourists,Public domain,,Johan Spaedtke aka Spade,"A part of the Triberg waterfalls, Triberg, Schwarzwald, Germany",,960,1440,512,768,54.746,12af6ec465c402a1232a99036108cab5bf5b7e2e
0012.jpg,waterfall,File:Entrance to Triberg waterfall.jpg,https://commons.wikimedia.org/wiki/File:Entrance_to_Triberg_waterfall.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Entrance_to_Triberg_waterfall.jpg/960px-Entrance_to_Triberg_waterfall.jpg,cascade waterfall forest -people -portrait -tourists,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Lofty,"Entrance to Triberg Waterfall in the Black Forest, Germany, letting visistor's know that the waterfall is the highest in Germany.",,960,640,768,512,89.877,01ac06c1cc86f154f13ef4c8f2fd85387e538a23
0013.jpg,waterfall,"File:O'Sullivan's Cascade, Killarney (NBY 438352).jpg",https://commons.wikimedia.org/wiki/File:O%27Sullivan%27s_Cascade%2C_Killarney_(NBY_438352).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/O%27Sullivan%27s_Cascade%2C_Killarney_%28NBY_438352%29.jpg/960px-O%27Sullivan%27s_Cascade%2C_Killarney_%28NBY_438352%29.jpg,cascade waterfall forest -people -portrait -tourists,Public domain,,Unknown author Unknown author,"O'Sullivan's Cascade, Killarney",,960,614,768,491,57.071,0eebaf855a9f92b58797565cccef90fbeeff1afc
0014.jpg,waterfall,File:Tamolitch-falls-blue-pool-by-Natalie-inouye-17.jpg,https://commons.wikimedia.org/wiki/File:Tamolitch-falls-blue-pool-by-Natalie-inouye-17.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Tamolitch-falls-blue-pool-by-Natalie-inouye-17.jpg/960px-Tamolitch-falls-blue-pool-by-Natalie-inouye-17.jpg,cascade waterfall forest -people -portrait -tourists,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Travel Lane County,"Tamolitch Blue Pool courtesy of Eugene, Cascades &amp; Coast",,960,640,768,512,63.931,7e1f986357679256edf43f6024eaf3b49ada63c8
0015.jpg,waterfall,File:Cascades at Exbury Gardens - geograph.org.uk - 4952529.jpg,https://commons.wikimedia.org/wiki/File:Cascades_at_Exbury_Gardens_-_geograph.org.uk_-_4952529.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Cascades_at_Exbury_Gardens_-_geograph.org.uk_-_4952529.jpg/960px-Cascades_at_Exbury_Gardens_-_geograph.org.uk_-_4952529.jpg,cascade waterfall forest -people -portrait -tourists,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Paul Gillett,Cascades at Exbury Gardens,,960,720,768,576,93.645,bf2acaeecd6e7332eea1835682f21dbd46457be0
0016.jpg,waterfall,"File:Salt Creek Falls, Highway 58, Cascade Mountains - DPLA - 4acce275d691f7d48b9193ed7b9a24c7.jpg",https://commons.wikimedia.org/wiki/File:Salt_Creek_Falls%2C_Highway_58%2C_Cascade_Mountains_-_DPLA_-_4acce275d691f7d48b9193ed7b9a24c7.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Salt_Creek_Falls%2C_Highway_58%2C_Cascade_Mountains_-_DPLA_-_4acce275d691f7d48b9193ed7b9a24c7.jpg/960px-Salt_Creek_Falls%2C_Highway_58%2C_Cascade_Mountains_-_DPLA_-_4acce275d691f7d48b9193ed7b9a24c7.jpg,cascade waterfall forest -people -portrait -tourists,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,"Gary Halvorson, Oregon State Archives",Salt Creek Falls waterfall along Highway 58 in the Cascade Mountains.,,960,1438,513,768,63.281,85e74d041ad67130e7d8e8a545c26fdd5045ba3d
0017.jpg,waterfall,File:Landscape with Waterfall by Gustave Courbet.jpeg,https://commons.wikimedia.org/wiki/File:Landscape_with_Waterfall_by_Gustave_Courbet.jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Landscape_with_Waterfall_by_Gustave_Courbet.jpeg/960px-Landscape_with_Waterfall_by_Gustave_Courbet.jpeg,waterfall landscape -people -portrait -tourists,Public domain,,Gustave Courbet,,,960,1095,673,768,33.479,39ba1b21d911ed5e76b03d3bec82e04a9c0cf139
0018.jpg,waterfall,File:Kelety Landscape in the Tatra Mountains with Waterfall c. 1860.jpg,https://commons.wikimedia.org/wiki/File:Kelety_Landscape_in_the_Tatra_Mountains_with_Waterfall_c._1860.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Kelety_Landscape_in_the_Tatra_Mountains_with_Waterfall_c._1860.jpg/960px-Kelety_Landscape_in_the_Tatra_Mountains_with_Waterfall_c._1860.jpg,waterfall landscape -people -portrait -tourists,Public domain,,Gustav Friedrich Keleti,,,960,1153,639,768,42.338,a11238dbaa4f11e68a224211f69aaa75dd0e3f66
0019.jpg,waterfall,File:Jacob van Ruisdael - Landscape with Dune and Small Waterfall - Google Art Project.jpg,https://commons.wikimedia.org/wiki/File:Jacob_van_Ruisdael_-_Landscape_with_Dune_and_Small_Waterfall_-_Google_Art_Project.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Jacob_van_Ruisdael_-_Landscape_with_Dune_and_Small_Waterfall_-_Google_Art_Project.jpg/960px-Jacob_van_Ruisdael_-_Landscape_with_Dune_and_Small_Waterfall_-_Google_Art_Project.jpg,waterfall landscape -people -portrait -tourists,Public domain,,Jacob van Ruisdael,"The waterfall is in the left centre foreground. In the centre is rising ground, with undergrowth and thick bushes farther back; the left slope is in full light. To the left is a view of hills with bushes and a shepherd and his flock.",,960,732,768,586,57.238,aa5d6bf8d660c47611e1805769421c0ae2c64ed5
0020.jpg,waterfall,"File:Khrangsuri waterfall, Meghalaya 01 (edit).jpg",https://commons.wikimedia.org/wiki/File:Khrangsuri_waterfall%2C_Meghalaya_01_(edit).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Khrangsuri_waterfall%2C_Meghalaya_01_%28edit%29.jpg/960px-Khrangsuri_waterfall%2C_Meghalaya_01_%28edit%29.jpg,waterfall landscape -people -portrait -tourists,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Original: Chirnzb Derivative work: UnpetitproleX,"View of Khrang Suri waterfall from the hill top, located in the West Jaintia Hill district of Meghalaya, India. The nearest town to the waterfall is Jowai.",,960,640,768,512,87.153,d1f22a219ae889a426ba693a23ea5fe91ab38085
0021.jpg,waterfall,"File:Grenjengan Kembar waterfall in Magelang Regency, Indonesia.jpg",https://commons.wikimedia.org/wiki/File:Grenjengan_Kembar_waterfall_in_Magelang_Regency%2C_Indonesia.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Grenjengan_Kembar_waterfall_in_Magelang_Regency%2C_Indonesia.jpg/960px-Grenjengan_Kembar_waterfall_in_Magelang_Regency%2C_Indonesia.jpg,air terjun indonesia waterfall -people -portrait -tourists,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Petrusarif,"Grenjengan Kembar Waterfall in Magelang Regency, Indonesia.",,960,640,768,512,74.141,5fe77925af9a6b5060e5d1c6a13d0b0ad032985f
0022.jpg,waterfall,File:Air Terjun Tumpak Sewu.jpg,https://commons.wikimedia.org/wiki/File:Air_Terjun_Tumpak_Sewu.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Air_Terjun_Tumpak_Sewu.jpg/960px-Air_Terjun_Tumpak_Sewu.jpg,air terjun indonesia waterfall -people -portrait -tourists,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Lutfi adn,"Jika ingin melirik tentang keeksotisan-keksotisan panorama alam yang benar-benar natural terlebih keindahan air terjun yang khas, disinilah tempatnya. AIR TERJUN COBAN SEWU, Adalah salah satu dari beberapa air terjun yang berada di kawasan lereng gunung semeru tepatnya berada di sekitar jalur utama antara kabupaten Malang menuju kabupaten Lumajang dan sebaliknya. Dengan trekking super ekstrim sekitar 1 jam dari parkir dekat jalan raya, kita baru dapat menuju titik lokasi. Tapi janga khawatir, se",,960,1200,614,768,64.865,dd679e0b9dc0571b8011e72032d05a5ee2a356d0
